State,iso2,6/20/22,6/23/22,6/26/22,6/29/22,7/2/22,7/5/22,7/10/22,7/15/22,7/20/22,7/25/22,7/29/22,8/2/22,8/6/22,8/7/22,8/9/22,8/12/22,8/14/22,8/17/22,8/20/22,8/25/22,9/7/22
Alabama,AL,0,0,0,0,0,0,0,2,2,4,19,19,22,21,22,69,34,34,53,53,82
Alaska,AK,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,2,2,3,3,3
Arizona,AZ,1,1,1,1,1,1,3,11,11,29,85,85,143,131,143,317,213,213,281,269,374
Arkansas,AR,0,0,0,0,0,1,1,2,1,3,5,5,12,9,12,32,21,21,28,24,46
California,CA,24,40,66,66,66,111,136,266,267,356,826,826,1310,1310,1310,3629,2356,2356,3291,3068,4300
Colorado,CO,5,5,7,7,7,7,9,20,32,47,53,53,78,78,78,198,155,155,189,189,235
Connecticut,CT,0,0,0,0,0,1,1,12,13,19,39,39,49,48,49,91,71,71,89,86,107
Delaware,DE,0,0,0,0,0,0,0,1,1,3,5,5,6,6,6,22,10,10,21,19,29
District Of Columbia,DC,4,4,20,20,20,53,60,108,126,110,257,257,318,303,318,432,351,351,414,402,457
Florida,FL,10,16,27,27,27,64,72,154,180,247,525,525,976,936,976,1922,1346,1346,1739,1669,2193
Georgia,GA,3,5,7,7,7,13,19,93,132,211,504,504,749,625,749,1403,1033,1033,1299,1240,1557
Hawaii,HI,5,5,6,6,6,6,6,8,8,8,10,10,11,11,11,18,13,13,15,15,25
Idaho,ID,0,0,0,0,0,0,1,1,1,2,5,5,8,7,8,11,9,9,9,9,11
Illinois,IL,15,19,45,45,45,62,91,174,200,238,547,547,701,672,701,1069,875,875,1005,983,1141
Indiana,IN,0,2,2,2,2,5,5,11,11,31,62,62,77,77,77,153,101,101,147,137,183
Iowa,IA,0,0,0,0,0,1,1,3,4,6,11,11,13,13,13,18,14,15,18,16,20
Kansas,KS,0,0,0,0,0,0,0,1,1,2,1,1,2,2,2,5,3,3,5,4,7
Kentucky,KY,0,0,0,1,1,2,2,3,3,4,8,8,10,11,10,31,17,17,27,24,36
Louisiana,LA,0,0,0,0,0,0,0,6,13,21,58,58,88,83,88,183,120,120,162,155,211
Maine,ME,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,5,3,3,5,5,7
Maryland,MD,1,3,5,5,5,9,14,37,48,71,157,157,219,215,219,484,349,349,461,447,571
Massachusetts,MA,7,9,9,13,13,29,30,51,53,79,134,134,174,174,174,303,228,228,280,265,347
Michigan,MI,0,0,0,0,0,1,2,13,17,27,56,56,73,70,73,186,99,99,165,145,227
Minnesota,MN,0,0,0,2,2,6,8,12,21,19,39,39,55,52,55,123,78,78,109,106,153
Mississippi,MS,0,0,0,0,0,0,0,0,0,0,4,4,8,7,8,32,17,17,29,23,48
Missouri,MO,0,2,2,2,2,3,3,4,9,5,12,12,17,15,17,53,25,25,42,39,61
Montana,MT,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,2,2,3,2,5
Nebraska,NE,0,0,1,1,1,1,1,2,2,5,10,10,14,14,14,27,17,17,25,23,28
Nevada,NV,1,1,2,2,2,2,4,6,6,8,26,36,55,39,55,141,109,109,127,124,204
New Hampshire,NH,0,0,0,0,0,1,1,1,1,3,14,14,15,15,15,20,15,15,19,17,23
New Jersey,NJ,0,1,2,2,2,7,8,31,41,41,160,160,264,243,264,512,367,367,479,450,610
New Mexico,NM,0,0,0,0,0,0,0,5,6,7,10,10,13,13,13,26,16,16,23,21,32
New York,NY,21,22,63,63,62,96,131,489,581,900,1666,1666,2104,1960,2104,3310,2675,2675,3124,3038,3591
North Carolina,NC,0,1,2,2,2,2,3,13,13,13,72,72,114,111,114,318,188,188,288,265,387
North Dakota,ND,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,5,3,3,4,4,5
Ohio,OH,1,0,2,2,2,3,3,7,7,4,34,34,73,68,73,172,119,119,151,144,226
Oklahoma,OK,2,2,2,2,2,2,2,3,5,4,10,10,11,11,11,22,15,15,22,22,27
Oregon,OR,1,1,1,1,1,3,5,21,9,36,75,75,93,80,93,141,116,116,141,141,141
Pennsylvania,PA,2,2,2,4,4,17,16,43,64,55,173,173,251,234,251,544,362,362,477,451,631
Puerto Rico,PR,0,0,0,0,0,0,1,4,6,10,19,19,32,32,32,111,66,66,97,90,134
Rhode Island,RI,1,1,1,1,1,1,1,4,7,9,26,26,31,31,31,43,33,33,42,40,58
South Carolina,SC,0,0,0,0,0,0,0,4,6,7,23,23,41,39,41,113,73,73,100,94,129
South Dakota,SD,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,2,2,2,2,2,2
Tennessee,TN,0,0,0,0,0,0,0,6,10,15,39,39,55,52,55,181,99,99,156,139,212
Texas,TX,2,4,7,7,7,20,23,76,81,107,527,527,748,702,748,1664,1078,1078,1472,1374,1929
Utah,UT,2,3,4,4,4,5,6,13,13,13,41,41,56,48,56,100,73,73,93,89,120
Vermont,VT,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,2,2,2,2,3
Virginia,VA,1,1,3,3,3,13,17,41,41,40,105,105,145,145,145,339,189,189,302,284,389
Washington,WA,2,4,6,6,6,7,10,44,44,60,134,134,210,183,210,332,303,303,332,328,506
West Virginia,WV,0,0,0,0,0,0,0,1,1,1,3,3,4,4,4,5,5,5,5,4,10
Wisconsin,WI,0,0,0,0,0,1,1,6,6,6,19,19,31,22,31,56,43,43,56,56,56
Wyoming,WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,2
